Prefix	Species name
MGP_AKRJ_	Mus musculus (Mouse AKR/J)
MGP_DBA2J_	Mus musculus (Mouse DBA/2J)
ENSCHI	Capra hircus (Goat)
ENSORL	Oryzias latipes (Japanese medaka HSOK)
ENSANI	Accipiter nisus (Eurasian sparrowhawk)
MGP_C57BL6NJ_	Mus musculus (Mouse C57BL/6NJ)
ENSDLE	Delphinapterus leucas (Beluga whale)
MGP_AJ_	Mus musculus (Mouse A/J)
ENSPSI	Pelodiscus sinensis (Chinese softshell turtle)
ENSSSC	Sus scrofa (Pig - Tibetan)
ENSCLA	Chinchilla lanigera (Long-tailed chinchilla)
ENSCMM	Cairina moschata domestica (Muscovy Duck (domestic type))
ENSPVA	Pteropus vampyrus (Megabat)
ENSMOD	Monodelphis domestica (Opossum)
ENSMAM	Mastacembelus armatus (Zig-zag eel)
ENSAPL	Anas platyrhynchos (Mallard)
MGP_PahariEiJ_	Mus pahari (Shrew mouse)
ENSPPA	Pan paniscus (Bonobo)
ENSNSU	Notechis scutatus (Mainland tiger snake)
ENSPTX	Pseudonaja textilis (Eastern brown snake)
ENSPMG	Periophthalmus magnuspinnatus (Periophthalmus magnuspinnatus)
ENSATE	Anabas testudineus (Climbing perch)
ENSBSL	Betta splendens (Siamese fighting fish)
ENSCUS	Catharus ustulatus (Swainson's thrush)
MGP_CAROLIEiJ_	Mus caroli (Ryukyu mouse)
ENSSMR	Salvator merianae (Argentine black and white tegu)
ENSCHY	Cervus hanglu yarkandensis (Yarkand deer)
ENSPCT	Physeter catodon (Sperm whale)
ENSUTT	Ursus thibetanus thibetanus (Asiatic black bear)
ENSCPU	Calidris pugnax (Ruff)
MGP_SPRETEiJ_	Mus spretus (Algerian mouse)
ENSCPI	Chrysolophus pictus (Golden pheasant)
ENSPMA	Petromyzon marinus (Lamprey)
ENSSAU	Sparus aurata (Gilthead seabream)
MGP_CBAJ_	Mus musculus (Mouse CBA/J)
ENSSPU	Sphenodon punctatus (Tuatara)
ENSJJA	Jaculus jaculus (Lesser Egyptian jerboa)
ENSSAN	Sinocyclocheilus anshuiensis (Blind barbel)
ENSXMA	Xiphophorus maculatus (Platyfish)
ENSSSC	Sus scrofa (Pig - Meishan)
ENSECA	Equus caballus (Horse)
ENSCDR	Camelus dromedarius (Arabian camel)
ENSBMS	Balaenoptera musculus (Blue whale)
ENSPNA	Pygocentrus nattereri (Red-bellied piranha)
ENSNLE	Nomascus leucogenys (Gibbon)
ENSPCA	Procavia capensis (Hyrax)
ENSCJP	Coturnix japonica (Japanese quail)
ENSPTR	Pan troglodytes (Chimpanzee)
ENSSDU	Seriola dumerili (Greater amberjack)
ENSACD	Anser cygnoides (Swan goose)
ENSOCU	Oryctolagus cuniculus (Rabbit)
ENSPFO	Poecilia formosa (Amazon molly)
ENSGAL	Gallus gallus (Chicken)
ENSAPE	Amphiprion percula (Orange clownfish)
ENSCCN	Castor canadensis (American beaver)
ENSLCO	Lepidothrix coronata (Blue-crowned manakin)
ENSCCE	Cyanistes caeruleus (Blue tit)
ENSAHA	Apteryx haastii (Great spotted kiwi)
ENSDAR	Danio rerio (Zebrafish)
ENSMCS	Malurus cyaneus samueli (Superb fairywren)
ENSAZO	Anas zonorhyncha (Eastern spot-billed duck)
